"","ad1","ad2","ad3","egg1","egg2","juv1","juv2","met1","met2","met3","nej_1h1","nej_1h23","nej_24h1","nej_24h2","nej_3h1","nej_3h2"
"rnd-1_family-513#DNA/CMC-EnSpm",897.282124645543,380.61117094872,337.631737381376,324.164942444297,297.861742323507,475.592698953858,374.291058066997,382.600376083021,314.301471226205,317.913869047754,383.502541421218,421.965499533698,369.678763609841,356.877501655639,214.11847599887,351.709038912394
"rnd-1_family-514#Unknown",357.71179042783,316.267175803931,1112.226354557,296.966649496098,452.387126854099,321.969577733967,663.05015836569,893.568466146769,923.228713973203,804.749101924851,690.649444734279,754.925757842226,794.405869015561,753.631186120685,679.823815759907,661.834020673753
"rnd-1_family-515#LTR/Gypsy",29.4039137944558,36.8812058738438,9.99765269331137e-06,25.5556073595802,38.7286673815683,34.7203695791621,31.6849233973944,0,0,7.02039741795641,0,2.28274659822698,5.2089643289477,10.3998461015347,0,8.48722520971429
"rnd-1_family-516#LINE/RTE-BovB",636.676430434536,485.653510799408,381.078928157719,788.810315388374,1841.68876840648,432.091240698731,771.752306835091,524.045480527217,559.567221303614,629.60454265579,609.106929453274,717.938490656551,484.779294525216,494.300670210296,475.160408384841,460.061016287424
"rnd-1_family-517#Unknown",234.34417615647,117.86918196762,278.498855531089,146.633299118639,42.1803467910759,929.698472511329,398.146513928799,939.237097108955,1194.37377195863,451.033988007983,746.495538516334,457.802604101517,612.980213061225,604.402793602899,243.45246979824,407.052070155004
"rnd-1_family-518#Unknown",0,10.7767311210004,0,0,19.6601123431745,0,0,0,0,0,0,0,0,0,0,0
"rnd-1_family-519#Unknown",119.720326924578,96.9981097958138,68.1263874366695,41.1222398724106,116.582883295458,47.16956040193,63.7879869527715,41.0930099429532,97.3216804356906,32.3139566834129,0,16.2031723883573,0,27.1252346592927,0,11.2219899380452
"rnd-1_family-52#Unknown",1131.55327935375,2448.93703751665,3383.73465124016,1193.99795975182,1643.65573480976,1237.22595863175,2779.24218361957,2372.86722185356,1751.11493731463,2093.21174910614,1677.00728540823,2375.58901570184,2116.19960409178,2020.82557995969,1380.78166155082,1630.12048827665
"rnd-1_family-520#DNA/CMC-EnSpm",486.107497430637,569.148148584778,481.634891418092,651.314133459082,662.066921174284,1173.11554006308,363.712671708752,1073.87917841316,1261.64394884092,1273.81304953132,998.555143319219,1446.29103943076,1048.31431771466,992.624396868678,606.9864578859,838.128247860472
"rnd-1_family-521#LTR/Gypsy",203.434336888438,71.6063873271323,73.4646231311846,112.854861028989,95.2045082670921,68.6368876012275,54.9291912378006,56.5569866403061,31.3579441490802,72.4100513126035,52.651740490967,52.4676651230931,31.1245513010571,50.1313346556893,19.8279270848569,46.8636250358022
"rnd-1_family-522#LTR/Pao",305.220325735588,151.309607356212,45.2097708191365,123.219721539817,143.434480589136,203.125039415146,62.3347712080196,312.910847185283,351.230747893551,277.451457588481,253.498151779776,304.257161366736,414.726950609244,389.482973726062,219.856725305882,345.075644540675
